                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12                                       13                                       14                                       15                                       16                                       17                                       18                                       19                                       20                                       21                                       22                                       23                                       24                                       25                                       26                                       27                                       28                                       29                                       30                                       31                                       32                                       33                                       34                                       35                                       36                                       37                                       38                                       39                                       40                                       41                                       42                                       43                                       44                                       45                                       46                                       47                                       48                                       49 
                            model_number                                num_zones                             initial_mass                                initial_z                                 star_age                                time_step                                     Teff                            photosphere_L                            photosphere_r                               center_eta                                center_h1                               center_he3                               center_he4                               center_c12                               center_n14                               center_o16                              center_ne20                                star_mass                                star_mdot                             star_mass_h1                            star_mass_he3                            star_mass_he4                            star_mass_c12                            star_mass_n14                            star_mass_o16                           star_mass_ne20                             he_core_mass                             co_core_mass                             fe_core_mass                   neutron_rich_core_mass                             dynamic_time                             kh_timescale                            nuc_timescale                           power_nuc_burn                             power_h_burn                            power_he_burn                                power_neu                                burn_min1                                burn_min2                             time_seconds                           version_number                                 compiler                                    build                         MESA_SDK_version                             math_backend                                     date                                     msun                                     rsun                                     lsun 
                                     200                                      870                  1.5000000000000000E+001                  2.0000000000000000E-002                  5.3802653403104174E+004                  2.7118494903624010E+003                  2.8805712136845545E+004                  2.1795536604213325E+004                  5.9276112150083646E+000                 -5.9128085424271948E+000                  6.9961615593802884E-001                  6.9411124448214485E-006                  2.8000379638965989E-001                  1.2059058691233670E-003                  3.6275443024137099E-003                  9.3774101351988166E-003                  2.0850244238750366E-003                  1.5000000000000002E+001                  0.0000000000000000E+000                  1.0498153042527974E+001                  3.3481802347440094E-004                  4.1997161374212686E+000                  4.0916025994682012E-002                  2.7753317229660932E-002                  1.4069296500597236E-001                  3.1275366358125570E-002                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  0.0000000000000000E+000                  3.7293315338670844E+004                  4.1012491134229196E+004                  6.8821430150521426E+006                  1.7513157928021290E+004                  1.7513157928021290E+004                  3.5184256470955343E-033                  1.1757813319390470E+003                  5.0000000000000000E+001                  1.0000000000000000E+003                  1.6978826150338003E+012                                "4a68bfb"                               "gfortran"                                 "13.3.0"                   "x86_64-linux-25.12.1"                                 "CRMATH"                               "20260307"                  1.9884098706980504E+033                  6.9570000000000000E+010                  3.8280000000000003E+033 

                                       1                                        2                                        3                                        4                                        5                                        6                                        7                                        8                                        9                                       10                                       11                                       12 
                                    zone                                     mass                                     logR                                     logT                                   logRho                                     logP                        x_mass_fraction_H                       y_mass_fraction_He                   z_mass_fraction_metals                                       pp                                      cno                                tri_alpha 
                                       1                  1.5000000000000002E+001                  7.7287971104521969E-001                  4.4604596141224322E+000                 -8.9996445503260833E+000                  3.7351761210660883E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002                  1.4676062740264550E-028                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       2                  1.4999999999985002E+001                  7.7286502404659863E-001                  4.4633198412506800E+000                 -8.9804271224235066E+000                  3.7538661390572261E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002                  1.5340078495360122E-028                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       3                  1.4999999999956122E+001                  7.7283796746504319E-001                  4.4670676558229356E+000                 -8.9568946495044379E+000                  3.7773078652307177E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002                  1.6194248555072671E-028                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       4                  1.4999999999927246E+001                  7.7281233328156906E-001                  4.4704409690365088E+000                 -8.9370940100660636E+000                  3.7975161148431793E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002                  1.6949702642530428E-028                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       5                  1.4999999999903778E+001                  7.7279243064906156E-001                  4.4734431145076883E+000                 -8.9204347571384073E+000                  3.8148706329311706E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002                  1.7612535816126207E-028                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       6                  1.4999999999880314E+001                  7.7277327442714805E-001                  4.4764218929366359E+000                 -8.9047041516630152E+000                  3.8315611139280419E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002                  1.8262197135246559E-028                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       7                  1.4999999999856851E+001                  7.7275479724653240E-001                  4.4793753783173909E+000                 -8.8898154100649016E+000                  3.8476365127000887E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002                  1.8899150368153093E-028                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       8                  1.4999999999833387E+001                  7.7273694053580200E-001                  4.4823020013859622E+000                 -8.8756930499190698E+000                  3.8631405636880305E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002                  1.9523835268468704E-028                  0.0000000000000000E+000                  0.0000000000000000E+000 
                                       9                  1.4999999999809921E+001                  7.7271965305067392E-001                  4.4852005073957120E+000                 -8.8622712788085458E+000                  3.8781124975954402E+000                  7.0000000000000007E-001                  2.8000000000000003E-001                  1.9999999999999907E-002                  2.0136657478021474E-028                  0.0000000000000000E+000                  0.0000000000000000E+000 
